No.,Time,Source,Destination,Protocol,Length,Info
1,0,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0x25c3d278
2,4.641709,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
3,16.26752,fe80::66db:8bff:fe21:4ccf,ff02::fb,MDNS,754,"Standard query response 0x0000 TXT, cache flush PTR _http._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local TXT, cache flush PTR _psia._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local TXT, cache flush PTR _CGI._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local A, cache flush 192.168.100.64 AAAA, cache flush fe80::66db:8bff:fe21:4ccf NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local NSEC, cache flush 64.100.168.192.in-addr.arpa NSEC, cache flush F.C.C.4.1.2.E.F.F.F.B.8.B.D.6.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DS-2CD2020F-I20171222AAWR154590743.local"
4,16.43543,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0x25c3d278
5,16.815893,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
6,16.895901,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
7,16.954848,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
8,17.535876,::,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
9,17.791935,::,ff02::1:ffd5:cdf,ICMPv6,86,Neighbor Solicitation for fe80::5bcc:698e:39d5:cdf
10,18.815977,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
11,18.817191,fe80::5bcc:698e:39d5:cdf,ff02::2,ICMPv6,62,Router Solicitation
12,18.827877,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
13,18.893979,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
14,18.919221,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
15,19.03588,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
16,19.144397,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
17,19.167869,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,110,Multicast Listener Report Message v2
18,19.394371,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
19,19.595079,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
20,19.920076,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
21,19.943727,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
22,20.620865,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
23,21.921503,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
24,22.645638,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
25,25.921952,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
26,27.570105,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
